request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
cd08c617-bf71-45a7-ba97-2fdda16c0ec1,ar-dist-0554,3755995.163874575,3755996.037381388,3755997.502995036,3741,51,0.8735068128444254,1.4656136482954025
415738ac-b18f-41bc-b6ee-3f8ce3fed007,ar-dist-0032,3755994.005399945,3755994.806589502,3755997.503082836,851,75,0.8011895567178726,2.6964933341369033
c6c29df0-0ab5-43e3-a9f7-c9e98f4ddf44,ar-dist-0812,3755996.111810985,3755996.856886053,3755997.5031539467,3901,37,0.7450750679709017,0.6462678937241435
dc045b14-a4ff-4a98-857b-fac92dd87416,ar-dist-0123,3755996.216492409,3755996.855984871,3755997.695489164,1501,36,0.6394924619235098,0.839504293166101
44c76baa-87b7-40aa-8928-5abde3b73618,ar-dist-0025,3755996.321138601,3755996.856595,3755998.1465077186,851,57,0.5354563989676535,1.2899127188138664
3f727bfa-6421-4aee-b2e5-14a07caff288,ar-dist-0536,3755995.795323734,3755996.5312106023,3755998.146596982,3741,63,0.7358868680894375,1.6153863798826933
9201c273-2d7f-4aee-af82-f38247728ef1,ar-dist-0434,3755996.531961585,3755997.314839293,3755998.438792451,3741,44,0.7828777078539133,1.1239531580358744
866d1d4d-dbfe-4d1a-ab4a-a6f9c2926e2e,ar-dist-0175,3755995.690160679,3755996.49977601,3755998.43883253,2501,59,0.8096153307706118,1.9390565198846161
024c4b65-339f-4c62-b563-91ed3f1ae905,ar-dist-0785,3755996.637578371,3755997.403248763,3755998.68988277,3901,54,0.7656703921966255,1.2866340070031583
289f188a-f1a1-4831-88a5-4e52ec9cd573,ar-dist-0532,3755997.163427241,3755998.0431451243,3755998.7765951804,3741,34,0.8797178831882775,0.7334500560536981
b549c554-34f0-4177-ab4d-d9724ccfa3ca,ar-dist-0087,3755997.269354088,3755998.043925647,3755998.77667241,1501,34,0.7745715589262545,0.732746762689203
0ac6e4f1-7bd7-48ad-83fe-ce30ed62b0f9,ar-dist-0369,3755996.742363884,3755997.599790867,3755998.776731051,3741,48,0.8574269828386605,1.1769401840865612
c484a98d-5e92-4c66-9850-744cae65360e,ar-dist-0649,3755996.952701292,3755997.759756071,3755998.879699256,3901,43,0.8070547790266573,1.1199431847780943
f8b8e3e5-e3dc-4b49-8542-900d12224b83,ar-dist-0640,3755994.742837976,3755995.7650306085,3755998.8797849333,3901,72,1.0221926323138177,3.1147543247789145
9b10f8c5-74fa-4000-afe4-99d332520953,ar-dist-0001,3755994.848045693,3755995.763815673,3755998.880365227,851,102,0.915769980289042,3.1165495538152754
a2032b2f-f33d-452a-9f63-1c800993894c,ar-dist-0266,3755997.373891511,3755998.145865549,3755999.147572318,3251,45,0.7719740378670394,1.0017067692242563
eb2f4992-37f9-4773-b3a2-1f6708d20e88,ar-dist-0741,3755997.691149267,3755998.467156588,3755999.2292976677,3901,44,0.7760073211975396,0.7621410796418786
da5f60ad-b4b0-4458-b1aa-79d66e011ce5,ar-dist-0230,3755998.005757083,3755998.6893973495,3755999.3356521362,2501,33,0.683640266302973,0.6462547867558897
34ebe2bc-a185-44dd-a897-402f5dba2e33,ar-dist-0443,3755997.058265547,3755997.947677089,3755999.335778245,3741,61,0.8894115420989692,1.3881011558696628
ab85eacb-e78c-41a0-9c01-64dd83ed2b5c,ar-dist-0483,3755997.795663328,3755998.549544864,3755999.538994861,3741,38,0.7538815359584987,0.9894499969668686
